n,team,state,team_full,season,Wins,Losses,win_lose_ratio,Net Wins,ORtg,DRtg,netrtg,Rel ORtg,Rel DRtg,location,team_type,team_logo
30,WAS,district of colombia,Washington Wizards,2021,34,38,0.89,-4,111.2,113,-1.8,-1.1,0.7,E,D,logos/Washington Wizards.jpg
60,WAS,district of colombia,Washington Wizards,2020,25,47,0.53,-22,110.9,115.5,-4.6,0.3,4.9,E,D,logos/Washington Wizards.jpg
90,WAS,district of colombia,Washington Wizards,2019,32,50,0.64,-18,111.1,113.9,-2.8,0.7,3.5,E,D,logos/Washington Wizards.jpg
120,WAS,district of colombia,Washington Wizards,2018,43,39,1.1,4,109.3,108.7,0.6,0.7,0.1,E,S,logos/Washington Wizards.jpg
150,WAS,district of colombia,Washington Wizards,2017,49,33,1.48,16,111.2,109.3,1.9,2.4,0.5,E,O,logos/Washington Wizards.jpg
180,WAS,district of colombia,Washington Wizards,2016,41,41,1,0,105.3,105.8,-0.5,-1.1,-0.6,E,S,logos/Washington Wizards.jpg
210,WAS,district of colombia,Washington Wizards,2015,46,36,1.28,10,103.7,103,0.7,-1.9,-2.6,E,S,logos/Washington Wizards.jpg
240,WAS,district of colombia,Washington Wizards,2014,44,38,1.16,6,106,104.6,1.4,-0.7,-2.1,E,S,logos/Washington Wizards.jpg
270,WAS,district of colombia,Washington Wizards,2013,29,53,0.55,-24,100.2,103,-2.8,-5.7,-2.9,E,D,logos/Washington Wizards.jpg
300,WAS,district of colombia,Washington Wizards,2012,20,46,0.43,-26,101,106.2,-5.2,-3.6,1.6,E,S,logos/Washington Wizards.jpg
330,WAS,district of colombia,Washington Wizards,2011,23,59,0.39,-36,102.4,110.2,-7.8,-5.2,2.9,E,D,logos/Washington Wizards.jpg
29,UTA,utah,Utah Jazz,2021,52,20,2.6,32,117.6,108.3,9.3,5.3,-4,W,O,logos/Utah Jazz.jpg
59,UTA,utah,Utah Jazz,2020,44,28,1.57,16,112.3,109.9,2.4,1.7,-0.7,W,O,logos/Utah Jazz.jpg
89,UTA,utah,Utah Jazz,2019,50,32,1.56,18,110.9,105.7,5.2,0.5,-4.7,W,O,logos/Utah Jazz.jpg
119,UTA,utah,Utah Jazz,2018,48,34,1.41,14,108.4,103.9,4.5,-0.2,-4.7,W,O,logos/Utah Jazz.jpg
149,UTA,utah,Utah Jazz,2017,51,31,1.65,20,109.6,105.3,4.3,0.8,-3.5,W,O,logos/Utah Jazz.jpg
179,UTA,utah,Utah Jazz,2016,40,42,0.95,-2,105.9,103.9,2,-0.5,-2.5,W,O,logos/Utah Jazz.jpg
209,UTA,utah,Utah Jazz,2015,38,44,0.86,-6,105.1,104.9,0.2,-0.5,-0.7,W,S,logos/Utah Jazz.jpg
239,UTA,utah,Utah Jazz,2014,25,57,0.44,-32,103.5,111.3,-7.8,-3.2,4.6,W,D,logos/Utah Jazz.jpg
269,UTA,utah,Utah Jazz,2013,43,39,1.1,4,106.7,106.8,-0.1,0.8,0.9,W,S,logos/Utah Jazz.jpg
299,UTA,utah,Utah Jazz,2012,36,30,1.2,6,106.8,106.1,0.7,2.2,1.5,W,S,logos/Utah Jazz.jpg
329,UTA,utah,Utah Jazz,2011,39,43,0.91,-4,108.1,110.1,-2,0.5,2.8,W,S,logos/Utah Jazz.jpg
28,TOR,OH CANADA ,Toronto Raptors,2021,27,45,0.6,-18,112,112.5,-0.5,-0.3,0.2,E,S,logos/Toronto Raptors.jpg
58,TOR,OH CANADA ,Toronto Raptors,2020,53,19,2.79,34,111.1,105,6.1,0.5,-5.6,E,O,logos/Toronto Raptors.jpg
88,TOR,OH CANADA ,Toronto Raptors,2019,58,24,2.42,34,113.1,107.1,6,2.7,-3.3,E,O,logos/Toronto Raptors.jpg
118,TOR,OH CANADA ,Toronto Raptors,2018,59,23,2.57,36,113.8,105.9,7.9,5.2,-2.7,E,O,logos/Toronto Raptors.jpg
148,TOR,OH CANADA ,Toronto Raptors,2017,51,31,1.65,20,112.3,107.8,4.5,3.5,-1,E,O,logos/Toronto Raptors.jpg
178,TOR,OH CANADA ,Toronto Raptors,2016,56,26,2.15,30,110,105.2,4.8,3.6,-1.2,E,O,logos/Toronto Raptors.jpg
208,TOR,OH CANADA ,Toronto Raptors,2015,49,33,1.48,16,111,107.7,3.3,5.4,2.1,E,O,logos/Toronto Raptors.jpg
238,TOR,OH CANADA ,Toronto Raptors,2014,48,34,1.41,14,108.8,105.3,3.5,2.1,-1.4,E,O,logos/Toronto Raptors.jpg
268,TOR,OH CANADA ,Toronto Raptors,2013,34,48,0.71,-14,105.9,107.5,-1.6,0,1.6,E,S,logos/Toronto Raptors.jpg
298,TOR,OH CANADA ,Toronto Raptors,2012,23,43,0.53,-20,100.8,104.5,-3.7,-3.8,-0.1,E,S,logos/Toronto Raptors.jpg
328,TOR,OH CANADA ,Toronto Raptors,2011,22,60,0.37,-38,106.1,112.9,-6.8,-1.5,5.6,E,D,logos/Toronto Raptors.jpg
27,SAS,texas,San Antonio Spurs,2021,33,39,0.85,-6,111,112.8,-1.8,-1.3,0.5,W,D,logos/San Antonio Spurs.jpg
57,SAS,texas,San Antonio Spurs,2020,32,39,0.82,-7,112.4,113.5,-1.1,1.8,2.9,W,S,logos/San Antonio Spurs.jpg
87,SAS,texas,San Antonio Spurs,2019,48,34,1.41,14,112.9,111.2,1.7,2.5,0.8,W,S,logos/San Antonio Spurs.jpg
117,SAS,texas,San Antonio Spurs,2018,47,35,1.34,12,107.9,104.8,3.1,-0.7,-3.8,W,O,logos/San Antonio Spurs.jpg
147,SAS,texas,San Antonio Spurs,2017,61,21,2.9,40,111.1,103.5,7.6,2.3,-5.3,W,O,logos/San Antonio Spurs.jpg
177,SAS,texas,San Antonio Spurs,2016,67,15,4.47,52,110.3,99,11.3,3.9,-7.4,W,O,logos/San Antonio Spurs.jpg
207,SAS,texas,San Antonio Spurs,2015,55,27,2.04,28,108.5,102,6.5,2.9,-3.6,W,O,logos/San Antonio Spurs.jpg
237,SAS,texas,San Antonio Spurs,2014,62,20,3.1,42,110.5,102.4,8.1,3.8,-4.3,W,O,logos/San Antonio Spurs.jpg
267,SAS,texas,San Antonio Spurs,2013,58,24,2.42,34,108.3,101.6,6.7,2.4,-4.3,W,O,logos/San Antonio Spurs.jpg
297,SAS,texas,San Antonio Spurs,2012,50,16,3.13,34,110.9,103.2,7.7,6.3,-1.4,W,D,logos/San Antonio Spurs.jpg
327,SAS,texas,San Antonio Spurs,2011,61,21,2.9,40,111.8,105.6,6.2,4.2,-1.7,W,O,logos/San Antonio Spurs.jpg
26,SAC,california,Sacramento Kings,2021,31,41,0.76,-10,113.6,117.2,-3.6,1.3,4.9,W,D,logos/Sacramento Kings.jpg
56,SAC,california,Sacramento Kings,2020,31,41,0.76,-10,110.2,112.2,-2,-0.4,1.6,W,D,logos/Sacramento Kings.jpg
86,SAC,california,Sacramento Kings,2019,39,43,0.91,-4,110.4,111.5,-1.1,0,1.1,W,S,logos/Sacramento Kings.jpg
116,SAC,california,Sacramento Kings,2018,27,55,0.49,-28,103.7,111.1,-7.4,-4.9,2.5,W,D,logos/Sacramento Kings.jpg
146,SAC,california,Sacramento Kings,2017,32,50,0.64,-18,107.3,111.3,-4,-1.5,2.5,W,D,logos/Sacramento Kings.jpg
176,SAC,california,Sacramento Kings,2016,33,49,0.67,-16,106,108.4,-2.4,-0.4,2,W,D,logos/Sacramento Kings.jpg
206,SAC,california,Sacramento Kings,2015,29,53,0.55,-24,105.3,109.2,-3.9,-0.3,3.6,W,D,logos/Sacramento Kings.jpg
236,SAC,california,Sacramento Kings,2014,28,54,0.52,-26,105.7,108.8,-3.1,-1,2.1,W,D,logos/Sacramento Kings.jpg
266,SAC,california,Sacramento Kings,2013,28,54,0.52,-26,106.2,111.4,-5.2,0.3,5.5,W,D,logos/Sacramento Kings.jpg
296,SAC,california,Sacramento Kings,2012,22,44,0.5,-22,103.8,109.8,-6,-0.8,5.2,W,O,logos/Sacramento Kings.jpg
326,SAC,california,Sacramento Kings,2011,24,58,0.41,-34,103.5,109,-5.5,-4.1,1.7,W,D,logos/Sacramento Kings.jpg
25,POR,oregon,Portland Trail Blazers,2021,42,30,1.4,12,117.8,116,1.8,5.5,3.7,W,S,logos/Portland Trail Blazers.jpg
55,POR,oregon,Portland Trail Blazers,2020,35,39,0.9,-4,113.7,114.8,-1.1,3.1,4.2,W,S,logos/Portland Trail Blazers.jpg
85,POR,oregon,Portland Trail Blazers,2019,53,29,1.83,24,114.7,110.5,4.2,4.3,0.1,W,O,logos/Portland Trail Blazers.jpg
115,POR,oregon,Portland Trail Blazers,2018,49,33,1.48,16,109.1,106.4,2.7,0.5,-2.2,W,O,logos/Portland Trail Blazers.jpg
145,POR,oregon,Portland Trail Blazers,2017,41,41,1,0,110.3,110.8,-0.5,1.5,2,W,S,logos/Portland Trail Blazers.jpg
175,POR,oregon,Portland Trail Blazers,2016,44,38,1.16,6,108.8,108,0.8,2.4,1.6,W,S,logos/Portland Trail Blazers.jpg
205,POR,oregon,Portland Trail Blazers,2015,51,31,1.65,20,108.2,103.7,4.5,2.6,-1.9,W,O,logos/Portland Trail Blazers.jpg
235,POR,oregon,Portland Trail Blazers,2014,54,28,1.93,26,111.5,107.4,4.1,4.8,0.7,W,O,logos/Portland Trail Blazers.jpg
265,POR,oregon,Portland Trail Blazers,2013,33,49,0.67,-16,105.8,109.2,-3.4,-0.1,3.3,W,D,logos/Portland Trail Blazers.jpg
295,POR,oregon,Portland Trail Blazers,2012,28,38,0.74,-10,105.7,106.4,-0.7,1.1,1.8,W,O,logos/Portland Trail Blazers.jpg
325,POR,oregon,Portland Trail Blazers,2011,48,34,1.41,14,108.8,107.1,1.7,1.2,-0.2,W,S,logos/Portland Trail Blazers.jpg
24,PHO,arizona,Phoenix Suns,2021,51,21,2.43,30,117.2,111.3,5.9,4.9,-1,W,O,logos/Phoenix Suns.jpg
54,PHO,arizona,Phoenix Suns,2020,34,39,0.87,-5,111.7,111.4,0.3,1.1,0.8,W,S,logos/Phoenix Suns.jpg
84,PHO,arizona,Phoenix Suns,2019,19,63,0.3,-44,105.9,115.1,-9.2,-4.5,4.7,W,D,logos/Phoenix Suns.jpg
114,PHO,arizona,Phoenix Suns,2018,21,61,0.34,-40,103.5,112.8,-9.3,-5.1,4.2,W,D,logos/Phoenix Suns.jpg
144,PHO,arizona,Phoenix Suns,2017,24,58,0.41,-34,106.6,112.2,-5.6,-2.2,3.4,W,D,logos/Phoenix Suns.jpg
174,PHO,arizona,Phoenix Suns,2016,23,59,0.39,-36,102.2,109,-6.8,-4.2,2.6,W,D,logos/Phoenix Suns.jpg
204,PHO,arizona,Phoenix Suns,2015,39,43,0.91,-4,105.3,106.2,-0.9,-0.3,0.6,W,S,logos/Phoenix Suns.jpg
234,PHO,arizona,Phoenix Suns,2014,48,34,1.41,14,109.5,106.7,2.8,2.8,0,W,O,logos/Phoenix Suns.jpg
264,PHO,arizona,Phoenix Suns,2013,25,57,0.44,-32,101.2,108.1,-6.9,-4.7,2.2,W,D,logos/Phoenix Suns.jpg
294,PHO,arizona,Phoenix Suns,2012,33,33,1,0,106.2,106.5,-0.3,1.6,1.9,W,O,logos/Phoenix Suns.jpg
324,PHO,arizona,Phoenix Suns,2011,40,42,0.95,-2,109.5,110.4,-0.9,1.9,3.1,W,S,logos/Phoenix Suns.jpg
23,PHI,pennsylvania,Philadelphia 76ers,2021,49,23,2.13,26,113.2,107.6,5.6,0.9,-4.7,E,O,logos/Philadelphia 76ers.jpg
53,PHI,pennsylvania,Philadelphia 76ers,2020,43,30,1.43,13,111.3,109,2.3,0.7,-1.6,E,O,logos/Philadelphia 76ers.jpg
83,PHI,pennsylvania,Philadelphia 76ers,2019,51,31,1.65,20,112.6,110,2.6,2.2,-0.4,E,S,logos/Philadelphia 76ers.jpg
113,PHI,pennsylvania,Philadelphia 76ers,2018,52,30,1.73,22,109.5,105,4.5,0.9,-3.6,E,O,logos/Philadelphia 76ers.jpg
143,PHI,pennsylvania,Philadelphia 76ers,2017,28,54,0.52,-26,103.2,108.9,-5.7,-5.6,0.1,E,D,logos/Philadelphia 76ers.jpg
173,PHI,pennsylvania,Philadelphia 76ers,2016,10,72,0.14,-62,98.8,109.2,-10.4,-7.6,2.8,E,D,logos/Philadelphia 76ers.jpg
203,PHI,pennsylvania,Philadelphia 76ers,2015,18,64,0.28,-46,95.5,104.8,-9.3,-10.1,-0.8,E,D,logos/Philadelphia 76ers.jpg
233,PHI,pennsylvania,Philadelphia 76ers,2014,19,63,0.3,-44,99.4,109.9,-10.5,-7.3,3.2,E,D,logos/Philadelphia 76ers.jpg
263,PHI,pennsylvania,Philadelphia 76ers,2013,34,48,0.71,-14,102,105.7,-3.7,-3.9,-0.2,E,D,logos/Philadelphia 76ers.jpg
293,PHI,pennsylvania,Philadelphia 76ers,2012,35,31,1.13,4,103.9,99.2,4.7,-0.7,-5.4,E,D,logos/Philadelphia 76ers.jpg
323,PHI,pennsylvania,Philadelphia 76ers,2011,41,41,1,0,106.6,105,1.6,-1,-2.3,E,S,logos/Philadelphia 76ers.jpg
22,ORL,florida,Orlando Magic,2021,21,51,0.41,-30,105.1,114.5,-9.4,-7.2,2.2,E,D,logos/Orlando Magic.jpg
52,ORL,florida,Orlando Magic,2020,33,40,0.83,-7,108.5,109.5,-1,-2.1,-1.1,E,S,logos/Orlando Magic.jpg
82,ORL,florida,Orlando Magic,2019,42,40,1.05,2,108.9,108.1,0.8,-1.5,-2.3,E,S,logos/Orlando Magic.jpg
112,ORL,florida,Orlando Magic,2018,25,57,0.44,-32,105.2,110.1,-4.9,-3.4,1.5,E,D,logos/Orlando Magic.jpg
142,ORL,florida,Orlando Magic,2017,29,53,0.55,-24,103.7,110.5,-6.8,-5.1,1.7,E,D,logos/Orlando Magic.jpg
172,ORL,florida,Orlando Magic,2016,35,47,0.74,-12,105.1,106.8,-1.7,-1.3,0.4,E,S,logos/Orlando Magic.jpg
202,ORL,florida,Orlando Magic,2015,25,57,0.44,-32,101.6,107.7,-6.1,-4,2.1,E,D,logos/Orlando Magic.jpg
232,ORL,florida,Orlando Magic,2014,23,59,0.39,-36,101.7,107.4,-5.7,-5,0.7,E,D,logos/Orlando Magic.jpg
262,ORL,florida,Orlando Magic,2013,20,62,0.32,-42,101.6,109.1,-7.5,-4.3,3.2,E,D,logos/Orlando Magic.jpg
292,ORL,florida,Orlando Magic,2012,37,29,1.28,8,105,104.1,0.9,0.4,-0.5,E,S,logos/Orlando Magic.jpg
322,ORL,florida,Orlando Magic,2011,52,30,1.73,22,107.9,102,5.9,0.3,-5.3,E,O,logos/Orlando Magic.jpg
21,OKC,oklahoma,Oklahoma City Thunder,2021,22,50,0.44,-28,103.5,114,-10.5,-8.8,1.7,W,D,logos/Oklahoma City Thunder.jpg
51,OKC,oklahoma,Oklahoma City Thunder,2020,44,28,1.57,16,110.8,108.8,2,0.2,-1.8,W,S,logos/Oklahoma City Thunder.jpg
81,OKC,oklahoma,Oklahoma City Thunder,2019,49,33,1.48,16,110.3,107,3.3,-0.1,-3.4,W,O,logos/Oklahoma City Thunder.jpg
111,OKC,oklahoma,Oklahoma City Thunder,2018,48,34,1.41,14,110.7,107.2,3.5,2.1,-1.4,W,O,logos/Oklahoma City Thunder.jpg
